51
100
L,-2262,766,616,-174,545,-1162,180,665,R,2326,607,1069,-430,-723,706,133,-621
L,-2590,642,751,251,188,-265,133,691,R,2267,500,1151,-77,-525,-507,111,-610
L,-2474,545,578,646,16,965,121,721,R,1913,393,867,86,-864,-1863,105,-635
L,-2124,546,262,807,-723,2116,143,740,R,1687,382,494,56,-42,-3126,122,-696
L,-1473,640,24,734,-1444,2862,234,664,R,1035,516,262,-116,1078,-4040,257,-607
L,-894,919,-154,464,-1816,3237,453,438,R,228,607,36,-282,1981,-4575,691,-205
L,-179,945,-142,-33,-2097,3459,763,106,R,-547,597,88,-262,2332,-4891,471,422
L,330,930,22,-690,-2165,3709,704,-195,R,-1149,534,195,-211,1972,-5139,246,636
L,695,958,262,-1116,-2254,4249,521,-350,R,-1570,432,201,-171,1704,-5501,152,731
L,1249,798,415,-1471,-1508,5039,312,-542,R,-2158,189,528,-185,1048,-5955,48,754
L,1675,444,617,-2198,-338,5594,139,-655,R,-2351,-392,634,-484,416,-6217,-91,724
L,1794,-232,1095,-3200,170,5630,-62,-580,R,-2250,-1203,543,-821,1358,-6199,-274,596
L,1827,-851,1503,-3992,174,5042,-197,-466,R,-2681,-2185,754,-781,2401,-6186,-381,492
L,1841,-1705,1356,-4281,-893,4615,-367,-402,R,-2619,-2812,662,-712,2166,-5851,-461,421
L,2367,-2773,1400,-4150,-296,4247,-452,-373,R,-3112,-2730,308,149,4352,-3704,-411,485
L,3471,-2847,1999,-2298,-377,2060,-354,-449,R,-2884,-2281,209,1215,4026,-1220,-382,515
L,2877,-1823,1456,-961,860,-194,-294,-509,R,-1409,-1935,167,1130,473,-219,-537,359
L,1818,-1305,501,-1354,3560,-774,-346,-524,R,-865,-1969,91,1017,284,373,-661,237
L,1941,-1405,290,-1204,3158,-1215,-356,-535,R,-832,-2207,224,1367,1654,1119,-686,205
L,2349,-1613,530,-722,2362,-2158,-338,-541,R,-1659,-2413,635,1666,2497,2155,-536,336
L,2880,-1861,943,-174,1457,-3306,-315,-540,R,-2577,-2363,877,1742,1710,3335,-409,456
L,3137,-1907,968,178,1028,-4253,-301,-557,R,-2860,-2061,662,1805,372,4189,-350,528
L,3163,-1798,661,230,896,-4858,-290,-587,R,-2807,-1665,348,1804,-685,4585,-304,587
L,3026,-1587,346,134,767,-5279,-275,-617,R,-2572,-1233,164,1681,-1457,4677,-255,641
L,2500,-1310,327,243,139,-5678,-274,-616,R,-2221,-703,94,1501,-1674,4613,-175,722
L,2366,-785,375,-58,-128,-5524,-181,-697,R,-1898,-138,128,1189,-1786,4527,-41,843
L,2032,-251,463,-414,295,-5195,-68,-754,R,-1402,302,172,799,-2031,4389,120,760
L,1271,127,693,-315,255,-4924,50,-609,R,-759,614,245,413,-1983,4126,375,489
L,760,413,862,-233,125,-4334,197,-384,R,-149,715,398,100,-1695,3675,592,103
L,306,572,952,-125,48,-3695,297,-154,R,314,726,549,-92,-1426,3035,489,-190
L,89,730,931,-132,47,-3075,379,-43,R,570,821,631,-233,-1490,2390,439,-288
L,24,872,825,-246,486,-2561,465,-11,R,737,896,620,-330,-1599,1920,429,-340
L,-123,871,650,-445,1377,-2264,527,64,R,755,904,607,-382,-1735,1743,430,-347
L,-597,738,565,-605,1920,-2151,419,327,R,798,832,574,-342,-2017,1843,402,-383
L,-980,651,584,-639,1738,-2061,297,482,R,1257,676,540,-176,-1871,2049,263,-554
L,-1356,599,667,-595,1454,-1888,216,565,R,2211,537,547,71,-926,1870,132,-708
L,-1877,628,819,-436,1315,-1499,170,611,R,2703,493,843,383,-90,752,98,-701
L,-2496,649,987,-113,834,-725,135,646,R,2364,662,913,763,-520,-568,146,-644
L,-2740,603,1050,153,569,596,116,661,R,2277,798,284,978,-63,-1461,191,-695
L,-2318,569,825,166,924,2164,130,665,R,2081,838,-92,808,1741,-2291,219,-679
L,-1738,553,479,-62,721,3375,170,671,R,1464,770,-207,406,2607,-3070,275,-614
L,-932,544,233,-326,-56,4178,295,575,R,811,721,-322,-39,3362,-3658,395,-457
L,-124,478,125,-481,-458,4788,697,141,R,8,647,-213,-470,4147,-4068,717,-7
L,398,557,103,-577,-548,5164,535,-351,R,-701,582,-99,-857,4034,-4365,394,498
L,993,536,239,-530,-572,5498,277,-593,R,-1372,527,165,-1319,2855,-4654,208,680
L,1690,347,241,-451,-98,6048,114,-759,R,-1753,213,241,-1897,1811,-4821,68,795
L,2052,304,400,-765,755,6632,82,-762,R,-1984,-281,327,-2493,1694,-4984,-79,777
L,1969,-63,870,-1429,579,7167,-16,-660,R,-2436,-1055,752,-2926,975,-5198,-224,619
L,2889,-1219,1469,-1545,-772,6970,-206,-565,R,-2352,-1806,790,-3082,-416,-5082,-360,500
L,2974,-1639,1453,-1267,-1175,5946,-263,-536,R,-2213,-2556,532,-2772,608,-4705,-483,402
L,2391,-1835,1114,-821,-1450,5051,-348,-480,R,-2648,-2698,493,-2110,-738,-3746,-450,439
L,2515,-2479,1196,11,-2243,3836,-416,-424,R,-1909,-2538,887,-1368,-2184,-1759,-503,353
L,2547,-2281,762,931,-2433,2086,-406,-466,R,-1405,-2285,1084,-735,-741,-231,-521,290
L,2273,-1880,286,1054,-1094,620,-393,-500,R,-1950,-1872,577,-759,-1548,439,-426,448
L,1606,-1898,730,755,378,-301,-470,-382,R,-2069,-1880,24,-803,-2278,1498,-422,477
L,1598,-2193,1637,1424,-264,-1185,-437,-302,R,-2515,-2004,-59,-460,-1789,2813,-385,514
L,2317,-2300,2035,2568,-1446,-2586,-367,-370,R,-3096,-2255,-9,-289,-1442,4198,-360,539
L,3134,-2131,1773,3147,-1348,-4060,-306,-485,R,-3409,-2355,-48,-218,-1555,5396,-346,553
L,3106,-1761,1294,3090,-399,-5011,-276,-548,R,-3348,-2153,-82,-26,-1622,6080,-327,572
L,2630,-1210,846,2830,211,-5433,-236,-606,R,-2925,-1706,-136,162,-1572,6306,-302,596
L,2185,-655,465,2382,670,-5405,-163,-698,R,-2426,-1116,-87,88,-1377,6124,-246,652
L,1758,-255,184,1828,1082,-5168,-82,-798,R,-1745,-555,2,-106,-1494,5718,-176,723
L,1137,48,10,1230,1266,-4794,24,-874,R,-958,-95,115,-259,-1326,5098,-56,811
L,492,316,-22,617,1345,-4234,327,-571,R,-318,175,345,-402,-941,4243,205,393
L,-35,555,91,69,1152,-3620,799,36,R,83,323,596,-512,-753,3300,282,-70
