105
100
L,697,-2169,1260,485,85,-996,-564,-155,R,-378,-1996,818,68,447,314,-656,99
L,1078,-2639,2382,1270,657,-1729,-452,-168,R,-872,-2067,1150,113,584,898,-550,202
L,1343,-3324,3367,2718,1792,-2578,-425,-158,R,-1710,-2254,1655,335,-110,2057,-434,314
L,1269,-3133,3100,4139,2406,-2858,-430,-160,R,-2537,-2461,2065,767,-968,3583,-369,383
L,805,-1933,2187,4368,3252,-1946,-396,-154,R,-3058,-2507,1976,1195,-1396,5182,-345,437
L,86,-725,1607,3484,4378,-3,-242,-28,R,-2964,-2452,1629,1540,-2179,6261,-359,451
L,-197,-1,1228,2145,4132,2191,0,91,R,-2318,-2017,1200,1734,-3124,6256,-376,446
L,22,13,909,908,3071,3866,8,-14,R,-1495,-1273,620,1738,-3696,5400,-381,465
L,146,-353,923,150,2291,4535,-206,-84,R,-744,-769,401,1514,-3550,4186,-422,406
L,85,-675,1143,-133,1034,4506,-304,-36,R,-140,-541,380,1185,-2605,2902,-531,119
L,277,-624,1233,-51,51,3995,-262,-113,R,185,-388,529,887,-1526,1725,-347,-157
L,279,-79,1287,14,26,2904,-34,-122,R,374,-45,730,562,-963,863,-31,-271
L,91,427,1382,33,65,1577,171,-35,R,516,502,1058,271,-671,275,231,-237
L,-71,679,1386,55,-1,480,260,26,R,525,870,1419,23,-467,-68,299,-175
L,-279,664,1277,56,-207,-365,269,110,R,543,754,1419,-166,-269,-315,264,-186
L,-232,268,1053,97,-832,-1616,139,120,R,420,283,1209,-293,351,-597,124,-186
L,298,-599,1024,-11,-1367,-3583,-293,-141,R,144,-108,773,-526,1071,-886,-78,-104
L,530,-1049,1026,-589,-1440,-4998,-422,-198,R,41,-152,261,-933,1837,-1311,-299,-77
L,147,-507,880,-1484,-2167,-4894,-296,-82,R,-12,-46,-43,-1312,3151,-2248,-452,111
L,-89,144,1046,-2196,-3550,-3645,78,48,R,-626,38,57,-1502,4448,-3807,34,837
L,-126,405,1136,-2777,-4788,-1642,195,60,R,-1968,-29,990,-1521,3812,-5274,-7,632
L,543,19,1422,-3464,-4199,465,7,-208,R,-2505,-338,1927,-1723,1431,-5671,-61,520
L,1555,-1180,2344,-3861,-2327,1832,-227,-306,R,-2041,-1404,1841,-2194,776,-5184,-270,413
L,1623,-2168,2759,-3493,-766,2390,-341,-248,R,-2033,-2767,1716,-2086,1526,-4343,-461,319
L,1102,-2693,2402,-2735,-255,2546,-455,-169,R,-1325,-3461,1797,-1210,3427,-2884,-571,187
L,900,-3131,2125,-1822,-860,2251,-536,-133,R,-1734,-2864,1647,-135,4114,-1663,-501,276
L,694,-2950,1859,-828,-1068,1210,-560,-112,R,-2283,-2049,1181,384,-76,-673,-385,439
L,579,-2387,1257,-266,-416,59,-598,-121,R,-877,-1930,540,374,-2543,30,-618,236
L,599,-2020,882,-16,446,-169,-621,-152,R,-334,-1723,183,242,-951,-17,-775,109
L,432,-1805,854,239,249,204,-620,-122,R,-540,-1609,284,-29,115,-60,-692,182
L,521,-1856,1052,420,-22,361,-576,-137,R,-761,-1885,1108,-25,-52,120,-545,191
L,641,-2273,1713,762,220,54,-511,-126,R,-1273,-2655,2210,593,-1365,884,-461,202
L,963,-2470,2245,1530,-191,-845,-453,-160,R,-1224,-3431,2927,1864,-2855,1964,-472,151
L,1849,-2417,2319,2417,-96,-1986,-391,-289,R,-978,-3440,3095,3355,-3146,2507,-466,119
L,2539,-2662,2108,3126,859,-3204,-388,-367,R,-1038,-2644,2811,4318,-3025,2239,-414,150
L,2697,-2700,1512,3442,1333,-4648,-411,-410,R,-668,-1517,2252,4379,-3278,1356,-328,138
L,2138,-2046,898,3212,1901,-5552,-414,-437,R,-443,-418,1498,3705,-4085,-8,-150,159
L,1006,-1209,595,2717,2079,-5428,-459,-367,R,-134,326,823,2524,-4934,-1690,213,86
L,263,-638,480,2153,1680,-4712,-493,-182,R,391,489,473,1239,-4328,-3165,385,-299
L,-206,-325,475,1554,1621,-3682,-321,196,R,424,289,467,280,-2794,-3924,246,-376
L,-670,-8,639,1039,1093,-2442,-5,463,R,435,39,648,-363,-1533,-4162,29,-338
L,-731,472,998,546,477,-1301,209,335,R,470,-224,862,-624,-254,-4157,-128,-278
L,-587,869,1400,98,188,-568,297,196,R,251,53,932,-595,1101,-3480,31,-150
L,-408,1075,1677,-169,58,-285,319,115,R,-154,766,1191,-459,1480,-2000,325,62
L,-506,1167,1763,-272,245,-170,324,134,R,-284,1111,1437,-154,393,-575,371,89
L,-686,1101,1605,-334,366,37,322,194,R,14,1190,1415,173,-395,236,400,-4
L,-640,694,1234,-554,53,380,265,243,R,94,1101,1182,383,-392,888,428,-33
L,-424,135,834,-926,-1120,820,82,266,R,158,613,834,480,28,2075,358,-86
L,50,-82,416,-1370,-2642,1333,-110,-67,R,212,-136,720,293,1246,3587,-102,-161
L,541,2,337,-1942,-3507,1951,2,-580,R,12,-516,666,-359,2610,4568,-377,-8
L,1037,206,622,-2343,-3860,2745,96,-577,R,-318,-153,735,-1329,3261,4491,-108,229
L,1637,115,995,-2426,-3446,3442,34,-585,R,-173,265,912,-2317,3254,3603,159,103
L,2025,-432,1554,-2546,-1663,3563,-96,-514,R,446,488,1070,-3178,3755,2270,228,-207
L,1731,-1123,1830,-2810,-830,3473,-240,-388,R,349,216,1403,-3732,5260,252,85,-138
L,1801,-2005,1993,-2726,-1088,3175,-367,-324,R,-923,-733,1678,-3706,5279,-1994,-209,267
L,1770,-2532,1893,-2042,-307,2736,-443,-292,R,-1904,-1799,2479,-3182,2253,-3185,-299,318
L,963,-2784,1470,-1373,-59,2287,-577,-170,R,-1448,-2496,2686,-2490,665,-3228,-392,215
L,395,-2858,1471,-785,-800,1163,-619,-70,R,-1239,-3103,1916,-1827,2269,-3210,-536,187
L,284,-2447,1347,-183,-513,-74,-606,-58,R,-1437,-3470,1615,-1255,2589,-2592,-580,205
L,486,-2197,1370,316,374,-602,-564,-106,R,-628,-2825,1683,-719,1726,-906,-575,108
L,951,-2516,1892,1066,744,-1039,-498,-168,R,-688,-2229,1790,-237,540,333,-492,135
L,1360,-3334,2695,2335,994,-1944,-478,-175,R,-1723,-2572,1781,354,-1141,1300,-460,288
L,1565,-3759,3219,3881,1201,-2780,-463,-175,R,-2731,-3007,1864,1046,-1295,3083,-422,376
L,1634,-2879,2711,4744,2062,-2750,-422,-224,R,-3601,-3061,1755,1520,-2081,5136,-373,455
L,1145,-1330,1764,4516,4033,-1366,-323,-274,R,-3130,-2387,1364,1875,-3604,6071,-349,486
L,442,-35,927,3425,5325,922,-19,-255,R,-2017,-1471,902,2054,-4284,5640,-336,494
L,93,414,517,1875,5037,3035,382,-80,R,-1177,-897,513,1880,-4369,4612,-349,487
